,VDOT,1K,1M,3K,5K,8K,10K,10M,Half,Full
65,36.5,04:34,07:43,15:10,26:02,42:41,54:04,1:29:49,1:59:53,4:07:31
66,36.6,04:33,07:42,15:09,25:58,42:35,53:56,1:29:36,1:59:36,4:06:57
67,36.7,04:32,07:40,15:06,25:55,42:29,53:49,1:29:24,1:59:19,4:06:25
68,36.8,04:32,07:39,15:04,25:51,42:23,53:41,1:29:12,1:59:03,4:05:52
69,36.9,04:31,07:38,15:02,25:48,42:17,53:34,1:28:59,1:58:46,4:05:19
70,37.0,04:31,07:37,15:00,25:44,42:12,53:27,1:28:46,1:58:30,4:04:46
71,37.1,04:30,07:36,14:58,25:41,42:06,53:19,1:28:34,1:58:14,4:04:15
72,37.2,04:30,07:35,14:56,25:37,42:00,53:12,1:28:22,1:57:58,4:03:42
73,37.3,04:29,07:34,14:54,25:34,41:54,53:04,1:28:10,1:57:42,4:03:10
74,37.4,04:28,07:32,14:52,25:30,41:49,52:57,1:27:58,1:57:25,4:02:38
75,37.5,04:27,07:32,14:49,25:26,41:43,52:50,1:27:46,1:57:10,4:02:07
76,37.6,04:27,07:31,14:48,25:23,41:37,52:43,1:27:34,1:56:54,4:01:35
77,37.7,04:26,07:30,14:46,25:20,41:31,52:36,1:27:22,1:56:38,4:01:03
78,37.8,04:25,07:28,14:43,25:16,41:26,52:28,1:27:10,1:56:22,4:00:32
79,37.9,04:25,07:28,14:41,25:13,41:21,52:22,1:26:58,1:56:07,4:00:01
80,38.0,04:24,07:27,14:40,25:10,41:15,52:15,1:26:46,1:55:51,3:59:30
81,38.1,04:24,07:25,14:37,25:07,41:09,52:07,1:26:35,1:55:35,3:58:59
82,38.2,04:23,07:24,14:35,25:03,41:04,52:01,1:26:23,1:55:20,3:58:28
83,38.3,04:22,07:24,14:34,25:00,40:58,51:53,1:26:12,1:55:04,3:57:58
84,38.4,04:22,07:22,14:31,24:56,40:53,51:46,1:26:00,1:54:49,3:57:27
85,38.5,04:21,07:21,14:30,24:53,40:47,51:40,1:25:49,1:54:34,3:56:56
86,38.6,04:20,07:20,14:28,24:50,40:42,51:33,1:25:37,1:54:19,3:56:26
87,38.7,04:20,07:19,14:26,24:47,40:37,51:26,1:25:26,1:54:04,3:55:56
88,38.8,04:19,07:18,14:24,24:43,40:31,51:19,1:25:15,1:53:49,3:55:26
89,38.9,04:19,07:17,14:22,24:40,40:26,51:13,1:25:03,1:53:34,3:54:56
90,39.0,04:18,07:16,14:20,24:37,40:21,51:06,1:24:52,1:53:19,3:54:27
91,39.1,04:17,07:15,14:18,24:34,40:16,50:59,1:24:41,1:53:04,3:53:57
92,39.2,04:17,07:14,14:16,24:31,40:10,50:52,1:24:30,1:52:49,3:53:28
93,39.3,04:16,07:13,14:15,24:28,40:06,50:46,1:24:19,1:52:34,3:52:58
94,39.4,04:16,07:12,14:12,24:24,40:00,50:39,1:24:08,1:52:20,3:52:30
95,39.5,04:15,07:12,14:10,24:21,39:55,50:32,1:23:57,1:52:05,3:52:00
96,39.6,04:15,07:10,14:09,24:18,39:50,50:26,1:23:46,1:51:50,3:51:31
97,39.7,04:14,07:09,14:07,24:15,39:45,50:20,1:23:35,1:51:36,3:51:03
98,39.8,04:14,07:09,14:05,24:12,39:40,50:13,1:23:24,1:51:22,3:50:34
99,39.9,04:13,07:07,14:03,24:08,39:34,50:07,1:23:13,1:51:08,3:50:05
100,40.0,04:13,07:07,14:01,24:06,39:30,50:00,1:23:02,1:50:54,3:49:37
101,40.1,04:12,07:05,14:00,24:03,39:25,49:54,1:22:52,1:50:39,3:49:09
102,40.2,04:12,07:04,13:58,24:00,39:19,49:47,1:22:42,1:50:25,3:48:40
103,40.3,04:11,07:04,13:56,23:56,39:15,49:41,1:22:31,1:50:11,3:48:12
104,40.4,04:10,07:02,13:54,23:53,39:10,49:35,1:22:20,1:49:57,3:47:45
105,40.5,04:10,07:02,13:52,23:51,39:04,49:29,1:22:10,1:49:43,3:47:16
106,40.6,04:09,07:01,13:50,23:48,39:00,49:22,1:22:00,1:49:30,3:46:49
107,40.7,04:09,07:00,13:49,23:45,38:55,49:16,1:21:49,1:49:16,3:46:21
108,40.8,04:08,06:59,13:47,23:41,38:50,49:10,1:21:39,1:49:02,3:45:54
109,40.9,04:07,06:58,13:45,23:38,38:45,49:04,1:21:28,1:48:48,3:45:26
110,41.0,04:07,06:57,13:43,23:36,38:40,48:58,1:21:18,1:48:34,3:44:59
111,41.1,04:07,06:57,13:41,23:33,38:36,48:52,1:21:08,1:48:20,3:44:32
112,41.2,04:06,06:55,13:40,23:30,38:31,48:46,1:20:58,1:48:07,3:44:05
113,41.3,04:05,06:55,13:39,23:27,38:26,48:40,1:20:47,1:47:54,3:43:38
114,41.4,04:05,06:54,13:37,23:24,38:21,48:34,1:20:37,1:47:40,3:43:11
115,41.5,04:04,06:53,13:35,23:21,38:16,48:28,1:20:28,1:47:27,3:42:45
116,41.6,04:04,06:52,13:33,23:19,38:12,48:22,1:20:17,1:47:14,3:42:18
117,41.7,04:03,06:51,13:31,23:16,38:07,48:16,1:20:07,1:47:01,3:41:52
118,41.8,04:03,06:50,13:30,23:13,38:02,48:10,1:19:58,1:46:47,3:41:25
119,41.9,04:02,06:49,13:28,23:10,37:58,48:04,1:19:48,1:46:34,3:40:59
120,42.0,04:02,06:48,13:26,23:07,37:53,47:58,1:19:38,1:46:21,3:40:33
121,42.1,04:01,06:47,13:25,23:04,37:49,47:52,1:19:28,1:46:08,3:40:07
122,42.2,04:01,06:46,13:23,23:01,37:44,47:46,1:19:19,1:45:55,3:39:41
123,42.3,04:00,06:46,13:22,22:59,37:40,47:40,1:19:09,1:45:42,3:39:15
124,42.4,04:00,06:45,13:20,22:56,37:35,47:35,1:19:00,1:45:30,3:38:49
125,42.5,04:00,06:44,13:18,22:53,37:31,47:29,1:18:50,1:45:17,3:38:24
126,42.6,03:59,06:43,13:16,22:51,37:26,47:23,1:18:40,1:45:04,3:37:58
127,42.7,03:58,06:42,13:15,22:48,37:22,47:17,1:18:31,1:44:51,3:37:33
128,42.8,03:58,06:42,13:13,22:45,37:17,47:12,1:18:21,1:44:39,3:37:07
129,42.9,03:57,06:40,13:11,22:42,37:13,47:06,1:18:12,1:44:26,3:36:42
130,43.0,03:57,06:40,13:10,22:40,37:08,47:01,1:18:02,1:44:13,3:36:17
131,43.1,03:57,06:39,13:09,22:37,37:04,46:55,1:17:53,1:44:01,3:35:52
