,VDOT,1K,1M,3K,5K,8K,10K,10M,Half,Full
287,58.7,03:00,05:02,10:01,17:22,28:30,36:01,59:38,1:19:38,2:46:26
288,58.8,03:00,05:02,10:00,17:21,28:27,35:58,59:33,1:19:31,2:46:12
289,58.9,03:00,05:02,09:59,17:19,28:25,35:55,59:28,1:19:24,2:45:58
290,59.0,03:00,05:01,09:58,17:17,28:22,35:52,59:22,1:19:17,2:45:43
291,59.1,02:59,05:01,09:57,17:16,28:19,35:49,59:17,1:19:10,2:45:29
292,59.2,02:59,05:01,09:56,17:14,28:17,35:46,59:12,1:19:03,2:45:15
293,59.3,02:58,05:00,09:55,17:13,28:15,35:43,59:07,1:18:56,2:45:01
294,59.4,02:58,05:00,09:55,17:11,28:12,35:40,59:02,1:18:49,2:44:46
295,59.5,02:58,04:59,09:54,17:10,28:10,35:37,58:57,1:18:42,2:44:32
296,59.6,02:58,04:59,09:53,17:08,28:07,35:34,58:52,1:18:35,2:44:18
297,59.7,02:57,04:58,09:52,17:07,28:05,35:31,58:46,1:18:28,2:44:04
298,59.8,02:57,04:58,09:51,17:06,28:03,35:28,58:41,1:18:22,2:43:50
299,59.9,02:57,04:57,09:50,17:04,28:00,35:24,58:36,1:18:15,2:43:36
300,60.0,02:57,04:57,09:49,17:03,27:58,35:21,58:31,1:18:08,2:43:22
